@relation 'AlturaOla-weka.filters.unsupervised.attribute.MathExpression-E100*A-R1-10,12-15-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-R2-12-unset-class-temporarily'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
12.149988,101320,92,8,2.699997,256,6.2,7.1,11.523953,6.450096,101270,13,-259.75,-261.75,Baja
12.250024,101190,89,5.300003,2.800003,223,4.2,4.9,7.69,5.16,101170,13,-259.75,-261.95,Baja
12.750024,101050,85,3,3.900009,206,3.1,3.8,7.69,5.23,101120,13.2,-259.35,-262.65,Baja
13.149988,100830,86,1,2.400009,127,1.6,2,7.14,5.84,100950,13,-259.35,-262.65,Baja
12.85,100740,91,1.699997,-1.399994,13,2.8,3.4,8.33,5.83,100840,13,-259.45,-261.95,Baja
12.85,100680,90,2.699997,-2.099991,25,2.3,2.8,8.33,6.4,100800,13.2,-259.45,-262.35,Baja
13.050012,100810,84,2.100006,-2.199997,348,1,1.5,8.33,6.22,100860,13.8,-258.25,-262.85,Baja
13.450006,100840,81,2.100006,-1.899994,331,4.8,5.6,7.69,5.94,100880,13.2,-259.15,-261.55,Baja
13.250024,100840,86,2.600006,-3.099991,352,3.5,4.3,7.69,5.84,100860,13.6,-259.25,-261.45,Baja
13.250024,100880,86,4.800003,-2.199997,320,4.8,5.5,7.69,5.64,100890,13.8,-259.25,-261.15,Baja
13.85,100990,83,7,0.5,286,5.6,6.6,7.14,5.01,100980,13.9,-259.15,-261.05,Baja
13.35,101100,84,5.900009,2.699997,254,5.1,5.9,7.69,4.89,101080,13.7,-259.15,-261.45,Baja
12.649988,101200,89,5.100006,4,246,4.1,5,7.69,4.95,101210,13.6,-259.25,-261.75,Baja
13.250024,101420,83,1.100006,3.5,204,3.3,3.7,7.14,5.24,101410,13.8,-259.25,-261.95,Baja
13.950006,101500,78,-0.399994,2.600006,155,2,2.8,6.25,5.4,101560,14.5,-258.55,-261.15,Baja
13.950006,101470,76,-0.300003,0.5,87,2.1,2.5,6.25,5.72,101570,14.5,-258.45,-261.65,Baja
13.35,101370,84,1.600006,-1.099991,31,5.1,5.9,7.14,5.47,101500,14.1,-258.95,-260.75,Baja
13.950006,101410,85,2.400009,-2.399994,4,5.2,6.1,7.14,4.07,101510,14.2,-258.95,-260.65,Baja
14.050012,101420,88,4.400009,-2.099991,332,6.6,7.5,3.7,3.7,101380,14.5,-258.75,-260.65,Baja
13.85,101340,88,5.600006,-1.800003,318,6.3,7.3,4.55,4.08,101290,14.1,-258.75,-261.35,Baja
13.35,101270,93,5.600006,0.900009,272,4.7,5.9,4.76,3.84,101190,13.6,-258.75,-260.75,Baja
13.85,101260,88,4.199997,4.100006,194,4.5,5.2,16,4.78,101150,14.1,-258.85,-261.25,Baja
14.149988,101370,81,5.300003,5.800003,241,9,10.8,3.23,3.38,101180,13.6,-258.65,-261.85,Baja
12.950006,101480,80,0.5,6.100006,217,9.8,11.2,5.26,4.19,101410,13.1,-258.95,-262.45,Baja
12.550012,101520,89,-2,6.199997,181,4.6,5.4,5.56,4.19,101600,12.7,-259.05,-262.95,Baja
12.750024,101680,89,-5.199997,7.600006,152,7.1,8.6,4.55,4.4,101800,12.6,-259.05,-262.45,Baja
13.750024,101880,86,-7,6.600006,120,8.2,9.7,6.25,4.57,101990,13.9,-258.95,-262.65,Media
14.149988,102060,88,-7.800003,5.199997,119,8.1,9.9,4.76,4.69,102170,14.5,-259.05,-260.85,Media
13.85,102230,90,-8.699997,4.600006,109,7.7,8.8,6.25,4.94,102340,14.5,-259.05,-260.55,Baja
14.950006,102350,82,-8.800003,1.699997,111,6.9,8.1,6.25,4.63,102460,14.7,-259.05,-260.65,Baja
14.450006,102390,85,-8.099991,2.199997,102,6.4,7.7,6.25,4.83,102490,14.7,-258.95,-260.35,Baja
14.250024,102380,87,-7.199997,2.600006,108,6.2,7.2,6.67,4.57,102500,14.5,-258.85,-260.05,Baja
14.149988,102300,86,-8.300003,1.100006,110,5.7,6.8,6.25,4.8,102420,14.4,-258.95,-260.05,Baja
14.950006,102180,86,-9.099991,2,105,7.6,8.8,6.67,4.51,102360,14.7,-258.85,-260.75,Media
15.149988,102090,87,-8.300003,5.300003,111,8.3,9.4,6.67,4.7,102240,13.7,-258.95,-261.55,Media
14.550012,102020,91,-7.300003,3.199997,117,7,8.3,7.69,5.24,102090,14.1,-258.85,-259.65,Baja
14.35,101790,92,-9.199997,1.199997,103,7.2,8.2,7.14,4.49,101860,14.5,-258.95,-259.15,Media
15.250024,101460,90,-8.899994,5,93,11,12.9,5.56,4.59,101550,14.5,-258.85,-259.75,Media
14.750024,101400,92,-3.699997,8.400009,136,8.2,9.5,6.25,4.78,101310,14.6,-259.05,-258.95,Baja
13.85,101500,95,1.800003,8.699997,221,7,8.5,6.67,5.03,101460,13.6,-258.95,-262.55,Baja
13.85,101610,90,0,5.800003,156,5.7,6.7,6.25,4.66,101600,14.1,-258.95,-260.75,Baja
14.35,101510,87,-3.399994,4.600006,146,6.4,7.4,6.25,4.54,101580,14,-259.05,-260.75,Baja
13.750024,101110,95,-10.800003,2.600006,124,6.8,8.1,6.25,4.58,101370,13.7,-258.95,-261.05,Media
14.149988,100450,97,-6.899994,1.600006,106,10,12,5.56,4.6,100790,13.9,-259.05,-261.65,Media
13.85,100380,98,4,9.800003,106,1.2,2.4,8.33,5.17,100130,14.2,-259.05,-261.65,Media
13.750024,100700,88,4.100006,14.699997,192,10.5,13.1,8.33,5.5,100600,14.2,-258.95,-261.65,Media
13.950006,100870,90,2.5,12,155,8.3,10.8,8.33,5.79,100800,14,-258.95,-260.85,Media
14.250024,101030,85,5.699997,8.199997,195,7,8.7,8.33,5.81,100870,14.1,-258.95,-260.65,Media
