@relation 'AlturaOla-weka.filters.unsupervised.attribute.MathExpression-E100*A-R1-10,12-15-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-R2-12-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3'

@attribute air numeric
@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
12.149988,101320,2.699997,256,6.2,7.1,11.523953,6.450096,101270,13,-259.75,-261.75,Baja
12.250024,101190,2.800003,223,4.2,4.9,7.69,5.16,101170,13,-259.75,-261.95,Baja
12.750024,101050,3.900009,206,3.1,3.8,7.69,5.23,101120,13.2,-259.35,-262.65,Baja
13.149988,100830,2.400009,127,1.6,2,7.14,5.84,100950,13,-259.35,-262.65,Baja
12.85,100740,-1.399994,13,2.8,3.4,8.33,5.83,100840,13,-259.45,-261.95,Baja
12.85,100680,-2.099991,25,2.3,2.8,8.33,6.4,100800,13.2,-259.45,-262.35,Baja
13.050012,100810,-2.199997,348,1,1.5,8.33,6.22,100860,13.8,-258.25,-262.85,Baja
13.450006,100840,-1.899994,331,4.8,5.6,7.69,5.94,100880,13.2,-259.15,-261.55,Baja
13.250024,100840,-3.099991,352,3.5,4.3,7.69,5.84,100860,13.6,-259.25,-261.45,Baja
13.250024,100880,-2.199997,320,4.8,5.5,7.69,5.64,100890,13.8,-259.25,-261.15,Baja
13.85,100990,0.5,286,5.6,6.6,7.14,5.01,100980,13.9,-259.15,-261.05,Baja
13.35,101100,2.699997,254,5.1,5.9,7.69,4.89,101080,13.7,-259.15,-261.45,Baja
12.649988,101200,4,246,4.1,5,7.69,4.95,101210,13.6,-259.25,-261.75,Baja
13.250024,101420,3.5,204,3.3,3.7,7.14,5.24,101410,13.8,-259.25,-261.95,Baja
13.950006,101500,2.600006,155,2,2.8,6.25,5.4,101560,14.5,-258.55,-261.15,Baja
13.950006,101470,0.5,87,2.1,2.5,6.25,5.72,101570,14.5,-258.45,-261.65,Baja
13.35,101370,-1.099991,31,5.1,5.9,7.14,5.47,101500,14.1,-258.95,-260.75,Baja
13.950006,101410,-2.399994,4,5.2,6.1,7.14,4.07,101510,14.2,-258.95,-260.65,Baja
14.050012,101420,-2.099991,332,6.6,7.5,3.7,3.7,101380,14.5,-258.75,-260.65,Baja
13.85,101340,-1.800003,318,6.3,7.3,4.55,4.08,101290,14.1,-258.75,-261.35,Baja
13.35,101270,0.900009,272,4.7,5.9,4.76,3.84,101190,13.6,-258.75,-260.75,Baja
13.85,101260,4.100006,194,4.5,5.2,16,4.78,101150,14.1,-258.85,-261.25,Baja
14.149988,101370,5.800003,241,9,10.8,3.23,3.38,101180,13.6,-258.65,-261.85,Baja
12.950006,101480,6.100006,217,9.8,11.2,5.26,4.19,101410,13.1,-258.95,-262.45,Baja
12.550012,101520,6.199997,181,4.6,5.4,5.56,4.19,101600,12.7,-259.05,-262.95,Baja
12.750024,101680,7.600006,152,7.1,8.6,4.55,4.4,101800,12.6,-259.05,-262.45,Baja
13.750024,101880,6.600006,120,8.2,9.7,6.25,4.57,101990,13.9,-258.95,-262.65,Media
14.149988,102060,5.199997,119,8.1,9.9,4.76,4.69,102170,14.5,-259.05,-260.85,Media
13.85,102230,4.600006,109,7.7,8.8,6.25,4.94,102340,14.5,-259.05,-260.55,Baja
14.950006,102350,1.699997,111,6.9,8.1,6.25,4.63,102460,14.7,-259.05,-260.65,Baja
14.450006,102390,2.199997,102,6.4,7.7,6.25,4.83,102490,14.7,-258.95,-260.35,Baja
14.250024,102380,2.600006,108,6.2,7.2,6.67,4.57,102500,14.5,-258.85,-260.05,Baja
14.149988,102300,1.100006,110,5.7,6.8,6.25,4.8,102420,14.4,-258.95,-260.05,Baja
14.950006,102180,2,105,7.6,8.8,6.67,4.51,102360,14.7,-258.85,-260.75,Media
15.149988,102090,5.300003,111,8.3,9.4,6.67,4.7,102240,13.7,-258.95,-261.55,Media
14.550012,102020,3.199997,117,7,8.3,7.69,5.24,102090,14.1,-258.85,-259.65,Baja
14.35,101790,1.199997,103,7.2,8.2,7.14,4.49,101860,14.5,-258.95,-259.15,Media
15.250024,101460,5,93,11,12.9,5.56,4.59,101550,14.5,-258.85,-259.75,Media
14.750024,101400,8.400009,136,8.2,9.5,6.25,4.78,101310,14.6,-259.05,-258.95,Baja
13.85,101500,8.699997,221,7,8.5,6.67,5.03,101460,13.6,-258.95,-262.55,Baja
13.85,101610,5.800003,156,5.7,6.7,6.25,4.66,101600,14.1,-258.95,-260.75,Baja
14.35,101510,4.600006,146,6.4,7.4,6.25,4.54,101580,14,-259.05,-260.75,Baja
13.750024,101110,2.600006,124,6.8,8.1,6.25,4.58,101370,13.7,-258.95,-261.05,Media
14.149988,100450,1.600006,106,10,12,5.56,4.6,100790,13.9,-259.05,-261.65,Media
13.85,100380,9.800003,106,1.2,2.4,8.33,5.17,100130,14.2,-259.05,-261.65,Media
13.750024,100700,14.699997,192,10.5,13.1,8.33,5.5,100600,14.2,-258.95,-261.65,Media
13.950006,100870,12,155,8.3,10.8,8.33,5.79,100800,14,-258.95,-260.85,Media
14.250024,101030,8.199997,195,7,8.7,8.33,5.81,100870,14.1,-258.95,-260.65,Media
13.450006,101210,5.800003,260,2.8,3.5,9.09,6.12,101000,13.7,-258.95,-260.95,Media
13.85,101430,3.199997,235,4.8,5.7,8.33,6.38,101260,13.9,-258.95,-260.95,Media
14.149988,101690,5.5,236,6.7,7.7,9.09,5.91,101540,14.3,-258.75,-261.05,Baja
13.649988,101710,7.5,211,7,8.3,8.33,5.12,101660,14,-258.65,-261.45,Media
13.250024,101790,7.100006,203,8.4,9.6,6.67,4.99,101720,14,-258.65,-261.45,Media
13.250024,101820,6.400009,202,6.6,7.7,6.67,5.09,101750,13.5,-258.75,-261.45,Media
13.85,101780,5.600006,188,7.6,9.1,6.67,4.7,101760,14,-258.75,-261.25,Baja
13.050012,101560,3.300003,170,6.4,7.3,6.67,4.6,101610,13.7,-258.65,-262.05,Baja
13.450006,101490,1.400009,182,4.2,5.2,6.67,5.12,101490,13.1,-258.85,-261.05,Baja
13.35,101410,1.800003,181,4.3,4.9,6.25,4.9,101370,13.9,-258.45,-261.25,Baja
12.85,101380,6,177,4.8,5.3,12.12,4.91,101320,14.4,-258.55,-261.05,Baja
13.149988,101100,9.5,169,7.5,9,11.43,4.02,101100,14.2,-258.35,-260.95,Baja
13.35,100880,11.300003,163,9.1,10.7,5.26,4.22,100830,13.9,-258.75,-260.35,Media
13.250024,100570,11.600006,171,10.3,12.2,5.88,4.8,100540,14.1,-258.75,-260.15,Moderada
14.050012,100360,13.900009,151,11.8,14.3,7.69,5.55,100340,14.1,-258.75,-260.15,Moderada
13.649988,100110,11.900009,161,10.6,13,8.33,6.48,100130,14.2,-258.85,-259.45,Moderada
13.85,99870,8.100006,140,9.1,10.8,8.33,6.56,99980,14.2,-258.85,-259.45,Moderada
14.050012,99960,5.900009,183,5.4,6.6,8.33,6.2,99890,13.6,-258.85,-259.95,Media
14.050012,100150,6.800003,169,6.5,8,9.09,6.58,100110,14.6,-258.65,-259.55,Media
14.050012,100100,6.400009,151,6.7,7.9,7.69,6.16,100180,14.3,-258.65,-259.15,Media
14.149988,99940,5.900009,114,6.6,8,7.69,6.04,100030,14.5,-258.65,-258.85,Media
14.85,99950,10.400009,147,8.5,10.1,7.69,5.81,99870,14.7,-258.65,-258.65,Media
14.35,100440,13.100006,197,9.5,11.9,8.33,5.43,100270,14.9,-258.55,-260.15,Moderada
14.149988,100750,10.5,159,7.7,9.3,9.09,5.95,100660,14.9,-258.55,-259.85,Media
14.050012,100910,9.400009,159,7.4,8.8,8.33,5.82,100840,14.6,-258.65,-260.25,Media
14.050012,101000,7,154,6.1,7.5,9.09,6.12,100930,14.6,-258.65,-261.15,Media
13.649988,100990,6,178,5.8,7.1,9.09,6.28,100920,14.7,-258.35,-260.85,Media
13.550012,101060,5.100006,186,5.4,6.7,10,6.59,101000,14.5,-258.45,-260.15,Media
13.950006,101160,6.800003,187,4.9,6.1,10,6.06,101040,14.8,-258.45,-260.65,Media
14.250024,101110,10.400009,157,6,7.3,9.09,5.92,101090,14.7,-258.45,-259.55,Media
14.550012,100990,10.199997,155,9.9,12.2,8.33,5.11,100950,14.4,-258.45,-260.15,Media
13.85,100840,11.100006,184,8.6,10.2,5.88,5.5,100780,14.3,-258.45,-259.45,Media
