@relation 'AlturaOla-weka.filters.unsupervised.attribute.MathExpression-E100*A-R1-10,12-15-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-R2-12-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.MathExpression-EA+273.15-V-R7-weka.filters.unsupervised.attribute.MathExpression-E(A-96020 )/(103850-96020)-V-R1-weka.filters.unsupervised.attribute.MathExpression-E(A+17.9 )/(21.1+17.9)-V-R2-weka.filters.unsupervised.attribute.MathExpression-E(A-0 )/(359-0)-V-R3-weka.filters.unsupervised.attribute.MathExpression-E(A-0.4 )/(26.1-0.4)-V-R4-weka.filters.unsupervised.attribute.MathExpression-E(A-3.1 )/(11.09-3.1)-V-R5-weka.filters.unsupervised.attribute.MathExpression-E(A+0.9 )/(15.8+0.9)-V-R6-weka.filters.unsupervised.attribute.MathExpression-E(A-6 )/(16.1-6)-V-R7'

@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
0.676884,0.528205,0.713092,0.2607,0.419286,0.832335,0.732673,Baja
0.660281,0.530769,0.62117,0.175097,0.257822,0.832335,0.732673,Baja
0.642401,0.558975,0.573816,0.132296,0.266583,0.844311,0.772277,Baja
0.614304,0.520513,0.35376,0.062257,0.342929,0.832335,0.772277,Baja
0.60281,0.423077,0.036212,0.116732,0.341677,0.832335,0.762376,Baja
0.595147,0.405128,0.069638,0.093385,0.413016,0.844311,0.762376,Baja
0.61175,0.402564,0.969359,0.042802,0.390488,0.88024,0.881188,Baja
0.615581,0.410257,0.922006,0.202335,0.355444,0.844311,0.792079,Baja
0.615581,0.379487,0.980501,0.151751,0.342929,0.868263,0.782178,Baja
0.62069,0.402564,0.891365,0.198444,0.317897,0.88024,0.782178,Baja
0.634738,0.471795,0.796657,0.241245,0.239049,0.886228,0.792079,Baja
0.648787,0.528205,0.707521,0.214008,0.22403,0.874251,0.792079,Baja
0.661558,0.561538,0.685237,0.178988,0.231539,0.868263,0.782178,Baja
0.689655,0.548718,0.568245,0.128405,0.267835,0.88024,0.782178,Baja
0.699872,0.525641,0.431755,0.093385,0.28786,0.922156,0.851485,Baja
0.696041,0.471795,0.24234,0.081712,0.32791,0.922156,0.861386,Baja
0.683269,0.430769,0.086351,0.214008,0.296621,0.898204,0.811881,Baja
0.688378,0.397436,0.011142,0.22179,0.121402,0.904192,0.811881,Baja
0.689655,0.405128,0.924791,0.276265,0.075094,0.922156,0.831683,Baja
0.679438,0.41282,0.885794,0.268482,0.122653,0.898204,0.831683,Baja
0.670498,0.482052,0.75766,0.214008,0.092616,0.868263,0.831683,Baja
0.669221,0.564103,0.54039,0.18677,0.210263,0.898204,0.821782,Baja
0.683269,0.607692,0.671309,0.404669,0.035044,0.868263,0.841584,Baja
0.697318,0.615385,0.604457,0.420233,0.136421,0.838323,0.811881,Baja
0.702427,0.617949,0.504178,0.194553,0.136421,0.814371,0.80198,Baja
0.722861,0.653846,0.423398,0.319066,0.162703,0.808383,0.80198,Baja
0.748404,0.628205,0.334262,0.361868,0.18398,0.886228,0.811881,Media
0.771392,0.592308,0.331476,0.36965,0.198999,0.922156,0.80198,Media
0.793103,0.576923,0.303621,0.326848,0.230288,0.922156,0.80198,Baja
0.808429,0.502564,0.309192,0.299611,0.191489,0.934132,0.80198,Baja
0.813538,0.515385,0.284123,0.284047,0.216521,0.934132,0.811881,Baja
0.812261,0.525641,0.300836,0.264591,0.18398,0.922156,0.821782,Baja
0.802043,0.48718,0.306407,0.249027,0.212766,0.916168,0.811881,Baja
0.786718,0.510256,0.292479,0.326848,0.176471,0.934132,0.821782,Media
0.775223,0.594872,0.309192,0.350195,0.20025,0.874251,0.811881,Media
0.766284,0.541026,0.325905,0.307393,0.267835,0.898204,0.821782,Baja
0.736909,0.489744,0.286908,0.303502,0.173967,0.922156,0.811881,Media
0.694764,0.587179,0.259053,0.486381,0.186483,0.922156,0.821782,Media
0.687101,0.674359,0.37883,0.354086,0.210263,0.928144,0.80198,Baja
0.699872,0.682051,0.615599,0.315175,0.241552,0.868263,0.811881,Baja
0.713921,0.607692,0.43454,0.245136,0.195244,0.898204,0.811881,Baja
0.701149,0.576923,0.406685,0.272374,0.180225,0.892216,0.80198,Baja
0.650064,0.525641,0.345404,0.299611,0.185232,0.874251,0.811881,Media
0.565773,0.5,0.295265,0.451362,0.187735,0.886228,0.80198,Media
0.556833,0.710256,0.295265,0.077821,0.259074,0.904192,0.80198,Media
0.597701,0.835897,0.534819,0.494163,0.300375,0.904192,0.811881,Media
0.619413,0.766667,0.431755,0.404669,0.336671,0.892216,0.811881,Media
0.639847,0.669231,0.543175,0.322957,0.339174,0.898204,0.811881,Media
0.662835,0.607692,0.724234,0.120623,0.377972,0.874251,0.811881,Media
0.690932,0.541026,0.654596,0.206226,0.410513,0.886228,0.811881,Media
0.724138,0.6,0.657382,0.284047,0.35169,0.91018,0.831683,Baja
0.726692,0.651282,0.587744,0.307393,0.252816,0.892216,0.841584,Media
0.736909,0.641026,0.56546,0.357977,0.236546,0.892216,0.841584,Media
0.740741,0.623077,0.562674,0.284047,0.249061,0.862275,0.831683,Media
0.735632,0.602564,0.523677,0.338521,0.20025,0.892216,0.831683,Baja
0.707535,0.54359,0.473538,0.268482,0.187735,0.874251,0.841584,Baja
0.698595,0.494872,0.506964,0.18677,0.252816,0.838323,0.821782,Baja
0.688378,0.505128,0.504178,0.175097,0.225282,0.886228,0.861386,Baja
0.684547,0.612821,0.493036,0.190661,0.226533,0.916168,0.851485,Baja
0.648787,0.702564,0.470752,0.33463,0.115144,0.904192,0.871287,Baja
0.62069,0.748718,0.454039,0.400778,0.140175,0.886228,0.831683,Media
0.581098,0.75641,0.476323,0.459144,0.212766,0.898204,0.831683,Moderada
0.554278,0.815385,0.420613,0.540856,0.306633,0.898204,0.831683,Moderada
0.52235,0.764103,0.448468,0.490272,0.423029,0.904192,0.821782,Moderada
0.491699,0.666667,0.389972,0.404669,0.433041,0.904192,0.821782,Moderada
0.503193,0.610257,0.509749,0.241245,0.387985,0.868263,0.821782,Media
0.527458,0.633333,0.470752,0.29572,0.435544,0.928144,0.841584,Media
0.521073,0.623077,0.420613,0.291829,0.382979,0.91018,0.841584,Media
0.500639,0.610257,0.317549,0.29572,0.36796,0.922156,0.841584,Media
0.501916,0.725641,0.409471,0.377432,0.339174,0.934132,0.841584,Media
0.564496,0.794872,0.548747,0.447471,0.291615,0.946108,0.851485,Moderada
0.604087,0.728205,0.442897,0.346304,0.356696,0.946108,0.851485,Media
0.624521,0.7,0.442897,0.326848,0.340426,0.928144,0.841584,Media
0.636015,0.638462,0.428969,0.276265,0.377972,0.928144,0.841584,Media
0.634738,0.612821,0.495822,0.2607,0.397997,0.934132,0.871287,Media
0.643678,0.589744,0.518106,0.245136,0.436796,0.922156,0.861386,Media
0.65645,0.633333,0.520891,0.22179,0.370463,0.94012,0.861386,Media
0.650064,0.725641,0.437326,0.268482,0.352941,0.934132,0.861386,Media
0.634738,0.720513,0.431755,0.459144,0.251564,0.916168,0.861386,Media
0.615581,0.74359,0.512535,0.381323,0.300375,0.91018,0.861386,Media
0.601533,0.712821,0.493036,0.357977,0.289111,0.922156,0.851485,Media
0.61175,0.702564,0.520891,0.40856,0.277847,0.934132,0.851485,Media
0.618135,0.694872,0.473538,0.311284,0.324155,0.928144,0.851485,Media
0.595147,0.728205,0.423398,0.400778,0.282854,0.934132,0.851485,Moderada
0.592593,0.715385,0.532033,0.498054,0.346683,0.928144,0.851485,Media
0.609195,0.538462,0.582173,0.175097,0.439299,0.886228,0.841584,Media
0.591315,0.553846,0.635097,0.038911,0.48811,0.826347,0.851485,Media
0.610473,0.569231,0.571031,0.268482,0.438048,0.904192,0.851485,Media
0.637292,0.582051,0.548747,0.284047,0.361702,0.916168,0.851485,Media
0.67433,0.638462,0.557103,0.342412,0.394243,0.886228,0.841584,Media
0.707535,0.641026,0.576602,0.268482,0.346683,0.934132,0.871287,Media
0.711367,0.648718,0.537604,0.264591,0.377972,0.922156,0.871287,Media
0.694764,0.776923,0.476323,0.420233,0.296621,0.922156,0.861386,Moderada
0.664112,0.825641,0.456825,0.607004,0.285357,0.892216,0.851485,Moderada
0.648787,0.776923,0.548747,0.431907,0.43179,0.94012,0.841584,Moderada
0.623244,0.758974,0.506964,0.392996,0.446809,0.934132,0.821782,Moderada
0.587484,0.812821,0.532033,0.533074,0.356696,0.946108,0.831683,Moderada
0.62963,0.664103,0.662953,0.548638,0.434293,0.916168,0.80198,Moderada
0.678161,0.564103,0.643454,0.400778,0.390488,0.922156,0.792079,Moderada
0.717752,0.525641,0.688022,0.330739,0.470588,0.922156,0.792079,Media
0.738186,0.535897,0.70195,0.311284,0.423029,0.922156,0.792079,Media
0.754789,0.48718,0.707521,0.291829,0.364205,0.898204,0.792079,Media
0.768838,0.476923,0.727019,0.287938,0.372966,0.916168,0.80198,Media
0.770115,0.469231,0.749304,0.175097,0.347935,0.904192,0.80198,Media
0.758621,0.5,0.718663,0.233463,0.341677,0.904192,0.80198,Baja
0.753512,0.494872,0.62117,0.18677,0.290363,0.886228,0.80198,Baja
0.733078,0.494872,0.668524,0.085603,0.272841,0.904192,0.831683,Baja
0.707535,0.484615,0.334262,0.077821,0.46433,0.892216,0.841584,Baja
0.699872,0.425641,0.270195,0.194553,0.439299,0.892216,0.811881,Baja
0.713921,0.346154,0.111421,0.190661,0.232791,0.904192,0.821782,Baja
0.736909,0.297436,0.036212,0.182879,0.292866,0.916168,0.831683,Baja
