@relation 'AlturaOla-weka.filters.unsupervised.attribute.MathExpression-E100*A-R1-10,12-15-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-R2-12-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O1.5-E2.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.InterquartileRange-R1-8-O1.5-E2.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.InterquartileRange-R1-8-O1.5-E2.0-weka.filters.unsupervised.attribute.Remove-R10'

@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}
@attribute ExtremeValue {no,yes}

@data
101320,2.699997,256,7.1,6.450096,13,-259.75,-261.75,Baja,no
101190,2.800003,223,4.9,5.16,13,-259.75,-261.95,Baja,no
101050,3.900009,206,3.8,5.23,13.2,-259.35,-262.65,Baja,no
100830,2.400009,127,2,5.84,13,-259.35,-262.65,Baja,no
100740,-1.399994,13,3.4,5.83,13,-259.45,-261.95,Baja,no
100680,-2.099991,25,2.8,6.4,13.2,-259.45,-262.35,Baja,no
100810,-2.199997,348,1.5,6.22,13.8,-258.25,-262.85,Baja,no
100840,-1.899994,331,5.6,5.94,13.2,-259.15,-261.55,Baja,no
100840,-3.099991,352,4.3,5.84,13.6,-259.25,-261.45,Baja,no
100880,-2.199997,320,5.5,5.64,13.8,-259.25,-261.15,Baja,no
100990,0.5,286,6.6,5.01,13.9,-259.15,-261.05,Baja,no
101100,2.699997,254,5.9,4.89,13.7,-259.15,-261.45,Baja,no
101200,4,246,5,4.95,13.6,-259.25,-261.75,Baja,no
101420,3.5,204,3.7,5.24,13.8,-259.25,-261.95,Baja,no
101500,2.600006,155,2.8,5.4,14.5,-258.55,-261.15,Baja,no
101470,0.5,87,2.5,5.72,14.5,-258.45,-261.65,Baja,no
101370,-1.099991,31,5.9,5.47,14.1,-258.95,-260.75,Baja,no
101410,-2.399994,4,6.1,4.07,14.2,-258.95,-260.65,Baja,no
101420,-2.099991,332,7.5,3.7,14.5,-258.75,-260.65,Baja,no
101340,-1.800003,318,7.3,4.08,14.1,-258.75,-261.35,Baja,no
101270,0.900009,272,5.9,3.84,13.6,-258.75,-260.75,Baja,no
101260,4.100006,194,5.2,4.78,14.1,-258.85,-261.25,Baja,no
101370,5.800003,241,10.8,3.38,13.6,-258.65,-261.85,Baja,no
101480,6.100006,217,11.2,4.19,13.1,-258.95,-262.45,Baja,no
101520,6.199997,181,5.4,4.19,12.7,-259.05,-262.95,Baja,no
101680,7.600006,152,8.6,4.4,12.6,-259.05,-262.45,Baja,no
101880,6.600006,120,9.7,4.57,13.9,-258.95,-262.65,Media,no
102060,5.199997,119,9.9,4.69,14.5,-259.05,-260.85,Media,no
102230,4.600006,109,8.8,4.94,14.5,-259.05,-260.55,Baja,no
102350,1.699997,111,8.1,4.63,14.7,-259.05,-260.65,Baja,no
102390,2.199997,102,7.7,4.83,14.7,-258.95,-260.35,Baja,no
102380,2.600006,108,7.2,4.57,14.5,-258.85,-260.05,Baja,no
102300,1.100006,110,6.8,4.8,14.4,-258.95,-260.05,Baja,no
102180,2,105,8.8,4.51,14.7,-258.85,-260.75,Media,no
102090,5.300003,111,9.4,4.7,13.7,-258.95,-261.55,Media,no
102020,3.199997,117,8.3,5.24,14.1,-258.85,-259.65,Baja,no
101790,1.199997,103,8.2,4.49,14.5,-258.95,-259.15,Media,no
101460,5,93,12.9,4.59,14.5,-258.85,-259.75,Media,no
101400,8.400009,136,9.5,4.78,14.6,-259.05,-258.95,Baja,no
101500,8.699997,221,8.5,5.03,13.6,-258.95,-262.55,Baja,no
101610,5.800003,156,6.7,4.66,14.1,-258.95,-260.75,Baja,no
101510,4.600006,146,7.4,4.54,14,-259.05,-260.75,Baja,no
101110,2.600006,124,8.1,4.58,13.7,-258.95,-261.05,Media,no
100450,1.600006,106,12,4.6,13.9,-259.05,-261.65,Media,no
100380,9.800003,106,2.4,5.17,14.2,-259.05,-261.65,Media,no
100700,14.699997,192,13.1,5.5,14.2,-258.95,-261.65,Media,no
100870,12,155,10.8,5.79,14,-258.95,-260.85,Media,no
101030,8.199997,195,8.7,5.81,14.1,-258.95,-260.65,Media,no
101210,5.800003,260,3.5,6.12,13.7,-258.95,-260.95,Media,no
101430,3.199997,235,5.7,6.38,13.9,-258.95,-260.95,Media,no
101690,5.5,236,7.7,5.91,14.3,-258.75,-261.05,Baja,no
101710,7.5,211,8.3,5.12,14,-258.65,-261.45,Media,no
101790,7.100006,203,9.6,4.99,14,-258.65,-261.45,Media,no
101820,6.400009,202,7.7,5.09,13.5,-258.75,-261.45,Media,no
101780,5.600006,188,9.1,4.7,14,-258.75,-261.25,Baja,no
101560,3.300003,170,7.3,4.6,13.7,-258.65,-262.05,Baja,no
101490,1.400009,182,5.2,5.12,13.1,-258.85,-261.05,Baja,no
101410,1.800003,181,4.9,4.9,13.9,-258.45,-261.25,Baja,no
101380,6,177,5.3,4.91,14.4,-258.55,-261.05,Baja,no
101100,9.5,169,9,4.02,14.2,-258.35,-260.95,Baja,no
100880,11.300003,163,10.7,4.22,13.9,-258.75,-260.35,Media,no
100570,11.600006,171,12.2,4.8,14.1,-258.75,-260.15,Moderada,no
100360,13.900009,151,14.3,5.55,14.1,-258.75,-260.15,Moderada,no
100110,11.900009,161,13,6.48,14.2,-258.85,-259.45,Moderada,no
99870,8.100006,140,10.8,6.56,14.2,-258.85,-259.45,Moderada,no
99960,5.900009,183,6.6,6.2,13.6,-258.85,-259.95,Media,no
100150,6.800003,169,8,6.58,14.6,-258.65,-259.55,Media,no
100100,6.400009,151,7.9,6.16,14.3,-258.65,-259.15,Media,no
99940,5.900009,114,8,6.04,14.5,-258.65,-258.85,Media,no
99950,10.400009,147,10.1,5.81,14.7,-258.65,-258.65,Media,no
100440,13.100006,197,11.9,5.43,14.9,-258.55,-260.15,Moderada,no
100750,10.5,159,9.3,5.95,14.9,-258.55,-259.85,Media,no
100910,9.400009,159,8.8,5.82,14.6,-258.65,-260.25,Media,no
101000,7,154,7.5,6.12,14.6,-258.65,-261.15,Media,no
100990,6,178,7.1,6.28,14.7,-258.35,-260.85,Media,no
101060,5.100006,186,6.7,6.59,14.5,-258.45,-260.15,Media,no
101160,6.800003,187,6.1,6.06,14.8,-258.45,-260.65,Media,no
101110,10.400009,157,7.3,5.92,14.7,-258.45,-259.55,Media,no
100990,10.199997,155,12.2,5.11,14.4,-258.45,-260.15,Media,no
100840,11.100006,184,10.2,5.5,14.3,-258.45,-259.45,Media,no
100730,9.900009,177,9.6,5.41,14.5,-258.55,-259.25,Media,no
100810,9.5,187,10.9,5.32,14.7,-258.55,-259.35,Media,no
100860,9.199997,170,8.4,5.69,14.6,-258.55,-259.15,Media,no
100680,10.5,152,10.7,5.36,14.7,-258.55,-258.95,Moderada,no
100660,10,191,13.2,5.87,14.6,-258.55,-259.65,Media,no
100790,3.100006,209,4.9,6.61,13.9,-258.65,-260.75,Media,no
100650,3.699997,228,1.4,7,12.9,-258.55,-262.35,Media,no
100800,4.300003,205,7.3,6.6,14.2,-258.55,-260.95,Media,no
101010,4.800003,197,7.7,5.99,14.4,-258.55,-260.35,Media,no
101300,7,200,9.2,6.25,13.9,-258.65,-260.85,Media,no
101560,7.100006,207,7.3,5.87,14.7,-258.35,-260.95,Media,no
101590,7.400009,193,7.2,6.12,14.5,-258.35,-260.55,Media,no
101460,12.400009,171,11.2,5.47,14.5,-258.45,-261.15,Moderada,no
101220,14.300003,164,16,5.38,14,-258.55,-260.45,Moderada,no
101100,12.400009,197,11.5,6.55,14.8,-258.65,-259.15,Moderada,no
100900,11.699997,182,10.5,6.67,14.7,-258.85,-258.85,Moderada,no
100620,13.800003,191,14.1,5.95,14.9,-258.75,-258.65,Moderada,no
100950,8,238,14.5,6.57,14.4,-259.05,-260.55,Moderada,no
101330,4.100006,231,10.7,6.22,14.5,-259.15,-260.45,Moderada,no
101640,2.600006,247,8.9,6.86,14.5,-259.15,-260.15,Media,no
101800,3,252,8.4,6.48,14.5,-259.15,-260.55,Media,no
101930,1.100006,254,7.9,6.01,14.1,-259.15,-261.15,Media,no
102040,0.699997,261,7.8,6.08,14.4,-259.05,-261.15,Media,no
102050,0.400009,269,4.9,5.88,14.2,-259.05,-260.65,Media,no
101960,1.600006,258,6.4,5.83,14.2,-259.05,-262.65,Baja,no
101920,1.400009,223,5.2,5.42,13.9,-259.05,-261.95,Baja,no
101760,1.400009,240,2.6,5.28,14.2,-258.75,-262.45,Baja,no
101560,1,120,2.4,6.81,14,-258.65,-262.45,Baja,no
101500,-1.300003,97,5.4,6.61,14,-258.95,-262.25,Baja,no
101610,-4.399994,40,5.3,4.96,14.2,-258.85,-261.65,Baja,no
101790,-6.300003,13,5.1,5.44,14.4,-258.75,-260.65,Baja,no
102030,-7.199997,340,4.4,5.66,14.4,-258.75,-260.55,Baja,no
102320,-5.399994,332,3.8,5.86,14.4,-258.85,-260.25,Baja,no
102530,-4.599991,318,3.5,5.26,14.4,-258.85,-260.45,Baja,no
102670,-2.199997,294,3.7,5.91,14.8,-258.35,-260.45,Baja,no
102630,1,257,3.7,6.21,14.5,-258.35,-260.25,Baja,no
102620,1.400009,244,4.5,6.04,14.2,-258.55,-260.95,Baja,no
102430,4.600006,144,2.7,6.7,13.9,-258.55,-261.65,Baja,no
102230,3.5,142,3.4,4.18,13.8,-258.55,-262.05,Baja,no
102160,-2.599991,79,5.8,3.92,13.6,-258.55,-261.15,Baja,no
102360,-4.599991,16,5.6,5.29,14.1,-258.65,-260.85,Baja,no
102480,-3.099991,332,1.7,5.41,14.4,-258.55,-260.85,Baja,no
102410,4.600006,169,3.2,5.97,14.5,-258.15,-261.15,Baja,no
101960,10.900009,142,9.9,4.06,13.8,-258.55,-260.05,Media,no
101430,11,185,6.4,4.84,14.6,-258.65,-258.85,Media,no
101140,7.100006,219,9.2,4.61,14.6,-258.65,-258.85,Baja,no
101130,4.699997,246,6.9,5.05,14.5,-258.65,-259.05,Media,no
101390,0.800003,271,8.4,5.51,14.8,-258.55,-259.25,Media,no
101490,-1,272,7.4,5.17,14.4,-258.65,-261.75,Media,no
101590,2.600006,227,8.1,5.76,14.3,-258.65,-261.45,Media,no
101470,5.699997,223,8.1,5.09,14.4,-258.65,-261.95,Media,no
101390,7.400009,228,11.3,5.58,13.9,-258.65,-262.25,Media,no
101430,5,235,11.2,5.44,14.3,-258.65,-260.65,Media,no
101570,1.800003,265,9.2,6.15,14.3,-258.75,-261.55,Media,no
101710,1.5,267,7.6,5.92,14.6,-258.55,-261.25,Media,no
101790,1,256,6.6,6.34,14.3,-258.55,-261.45,Media,no
101850,1.5,231,6.8,6.58,14.1,-258.55,-260.75,Media,no
101940,2.100006,259,7,6.24,13.5,-258.65,-261.05,Baja,no
101840,6.600006,229,7.7,5.83,14.5,-258.45,-260.75,Baja,no
101450,10.600006,185,9,5.3,14.4,-258.45,-262.65,Media,no
100930,11.800003,165,13.6,4.93,13.6,-258.55,-260.95,Media,no
100400,9.699997,170,9.8,5.56,13.8,-258.65,-260.85,Media,no
100070,5,163,8.3,5.95,14.3,-258.55,-261.65,Moderada,no
99920,-0.800003,230,0.8,6.88,13.8,-258.45,-261.45,Media,no
99920,-2.199997,294,5.6,7.12,13.6,-258.55,-262.15,Media,no
100050,-5.599991,289,8.4,6.53,14,-258.55,-262.05,Media,no
100280,-4.599991,296,8.7,6.27,14.2,-258.45,-261.25,Media,no
100530,-3,288,11.7,5.61,14.4,-258.55,-262.15,Media,no
100660,-1,273,10.3,5.64,14.2,-258.55,-261.55,Media,no
100710,3.199997,254,9.7,5.38,14.1,-258.65,-263.15,Media,no
100570,5.699997,226,9.8,5.29,13.8,-258.45,-261.55,Media,no
100260,6.900009,179,7.4,5.36,13.3,-258.55,-261.55,Baja,no
100060,0.199997,260,5,5.06,13.4,-258.45,-260.55,Baja,no
100350,-3.800003,225,2.4,5.86,14.1,-258.45,-261.05,Baja,no
100690,-2.5,312,6.9,5.2,14,-258.45,-260.45,Baja,no
101010,-4.5,291,9.4,4.96,14.2,-258.45,-261.55,Media,no
101240,-1.5,287,9.7,5.67,13.9,-258.55,-263.35,Media,no
101350,-2,282,11.1,4.94,13.9,-258.55,-265.85,Media,no
101650,-4.899994,290,11.4,5.55,14.3,-258.45,-262.55,Media,no
101980,-4.899994,300,11.5,5.23,14.1,-258.55,-262.65,Media,no
102230,-2.399994,272,10.1,5.6,14.1,-258.55,-263.05,Media,no
102220,-0.5,264,12.3,5.22,14.2,-258.65,-262.85,Media,no
102350,0.900009,264,12.3,5.59,14.4,-258.55,-261.85,Media,no
102310,0.400009,273,10.5,5.48,14.4,-258.65,-261.95,Media,no
102350,2.100006,258,10.3,5.42,13.9,-258.75,-262.95,Media,no
102190,4.5,237,8.1,5.53,14.1,-258.85,-261.45,Media,no
102150,4.300003,177,6.4,5.14,14.3,-258.75,-259.55,Baja,no
101980,4.699997,230,6.3,5.24,14.4,-258.75,-259.05,Media,no
102070,5.699997,223,10.4,4.62,14.7,-258.75,-258.85,Media,no
102130,7.600006,233,10.1,4.79,15.2,-258.75,-258.75,Media,no
102110,10.699997,212,12.7,4.77,15.3,-258.65,-259.05,Media,no
102080,11.400009,207,13.2,4.8,14.8,-258.65,-259.15,Moderada,no
102050,13.5,200,12.7,5.64,15,-258.75,-260.15,Moderada,no
101920,12.800003,198,15.2,5.64,14.9,-258.75,-259.45,Moderada,no
101800,12.900009,194,13.3,5.81,15.1,-258.75,-259.15,Moderada,no
101520,11.699997,191,13.6,5.47,15,-258.75,-258.65,Moderada,no
101490,6,233,8.9,6.06,14.6,-258.75,-258.85,Media,no
101490,-0.099991,271,5.5,6.31,14,-258.75,-259.35,Baja,no
101520,-3.300003,280,6,5.73,14,-258.55,-260.15,Baja,no
101530,-4.800003,278,6.6,5.59,14.3,-258.65,-262.05,Baja,no
101600,-4.699997,270,6.1,4.77,14.4,-258.65,-261.75,Media,no
101680,-2.300003,268,8.3,4.84,14.3,-258.65,-261.95,Media,no
101800,-1.899994,278,10,4.86,14.6,-258.65,-261.35,Media,no
101850,-2.199997,294,6.2,5,14.2,-258.65,-260.95,Baja,no
101950,-2,286,6,4.76,14.2,-258.65,-261.75,Baja,no
101970,-0.699997,268,3.9,5.53,14.4,-258.65,-261.55,Baja,no
102070,2.400009,254,4.4,4.75,13.9,-258.65,-261.95,Baja,no
102040,2.300003,200,4.6,7.63,13.6,-258.65,-261.75,Media,no
102050,4.5,150,5,8.57,13.2,-258.65,-260.75,Media,no
101970,5.900009,168,6.5,7.72,13.9,-258.65,-260.45,Media,no
101870,6.300003,159,7.6,6.12,14.2,-258.55,-260.95,Media,no
101730,5.900009,135,10.1,5.29,13.8,-258.65,-260.05,Media,no
101810,4.600006,174,5.6,5.99,14.4,-258.65,-259.05,Media,no
101930,1.600006,226,5.1,6.52,14.2,-258.65,-259.25,Media,no
102130,-2,285,8.7,5.76,14.3,-258.55,-260.85,Media,no
102320,-1.899994,280,5.7,6.03,14.2,-258.55,-260.95,Media,no
102390,0.199997,264,3.1,6.37,14,-258.65,-262.05,Baja,no
102410,5.699997,127,6.6,6.19,14,-258.65,-261.25,Baja,no
102270,9.600006,142,10,5.07,14.6,-258.65,-260.05,Baja,no
102240,12.100006,167,8.3,4.9,14.8,-258.65,-258.55,Media,no
102240,12,173,11.1,4.58,14.8,-258.65,-258.55,Media,no
102190,13.199997,179,12.6,5.72,15,-258.65,-258.55,Media,no
102030,14.400009,165,11.6,5.4,15.5,-258.55,-259.15,Moderada,no
101860,13.699997,166,11.4,5.96,15.2,-258.55,-259.15,Moderada,no
101700,13.900009,164,12.7,5.97,15,-258.55,-258.95,Moderada,no
101530,11.400009,163,11.9,6.79,14.8,-258.55,-258.85,Moderada,no
101330,12.800003,162,11.2,6.3,15.1,-258.45,-258.85,Moderada,no
101160,11.5,162,13.5,5.67,15.2,-258.55,-258.85,Moderada,no
101110,8.800003,159,12.5,6.06,15.3,-258.55,-258.75,Media,no
101110,7.800003,169,8.2,5.98,14.8,-258.55,-258.55,Media,no
100880,8.400009,152,10.6,5.87,15.3,-258.55,-258.55,Media,no
100880,8.5,246,9.5,5.84,13.6,-258.55,-262.25,Moderada,no
100960,6.5,198,8.3,7.3,14.4,-258.65,-261.35,Moderada,no
101070,4.400009,205,7.6,7.62,14.4,-258.65,-260.75,Media,no
101180,2.199997,233,5.9,7.09,14.6,-258.45,-262.25,Moderada,no
101260,2.300003,222,5.8,8.45,14.3,-258.55,-261.95,Media,no
101370,-0.399994,259,5.9,7.41,14.3,-258.55,-261.45,Media,no
101340,0.199997,228,4.6,7.84,14.3,-258.55,-261.05,Media,no
101340,1.199997,250,1.9,6.56,14.5,-258.45,-261.45,Media,no
101020,6.800003,185,5.5,7.12,14.3,-258.45,-262.05,Media,no
100540,11.400009,162,9.5,5.17,14.1,-258.55,-263.25,Media,no
