@relation 'AlturaOla-Test-weka.filters.unsupervised.attribute.Remove-R8,11-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10'

@attribute air numeric
@attribute pres numeric
@attribute rhum numeric
@attribute uwnd numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute DPD numeric
@attribute APD numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
279.200012,103960,74,7.500001,-8.099998,320,9.4,9.09,7.35,Moderada
278.700012,104050,80,3.3,-7.699998,311,8,14.81,6.67,Moderada
278.200012,104050,88,2.9,-5.399997,327,5.6,12.9,6.99,Media
277.599976,103910,100,4.1,-5.599998,306,5.8,12.9,6.6,Media
278.600006,103750,92,5.800002,-6.999999,307,6.4,12.12,5.81,Baja
278.199982,103660,88,1.6,-8.599998,327,7.2,5.56,4.6,Baja
278.699982,103440,92,4.000001,-9.899999,321,7.9,5.26,5.01,Baja
278.599976,103550,94,0.900002,-9.299998,323,7.1,5,4.71,Media
279.799988,103480,89,2.100002,-9.4,325,6.8,12.9,6.41,Media
278.799988,103540,97,2.000001,-8.099997,331,6.4,12.9,5.51,Media
278.700012,103560,94,3.2,-8.299997,326,8.1,11.43,5.42,Media
278.5,103640,93,1.2,-8.299997,322,6.3,10.81,5.62,Baja
278.799988,103530,95,0.1,-6.399997,358,5.6,10,5.52,Baja
277.599976,103630,100,0.4,-4.099998,341,3,10.81,5.32,Baja
277.200012,103600,100,2.400002,-3.3,325,3.2,12.12,6.18,Baja
276.5,103570,100,3.500003,-4.299997,307,5.6,10.81,5.27,Baja
277.100006,103490,100,5.400002,-4.599998,284,6.4,10.81,4.93,Baja
278.399963,103310,89,7.900002,-3.699998,290,7.4,5.26,4.6,Media
278.200012,103000,88,11.700003,-7.8,303,10.6,6.25,5.3,Moderada
279,102770,73,10.2,-11.2,316,12.9,8.33,5.9,Moderada
279.899994,102380,67,9.700002,-10.8,333,12.1,8.33,6.29,MuyAlta
278.099976,101780,63,8.800003,-15.2,342,16,10,6.82,MuyAlta
276.200012,101060,53,-3.599998,-14.199999,21,9.9,11.663012,7.671493,MuyAlta
274.299988,100980,69,-4.699998,-13.199999,28,13.8,11.43,7.36,MuyAlta
275.299988,101200,70,-6.599998,-12.099998,58,13,11.43,7.32,MuyAlta
276.099976,101400,78,-6.499997,-13.4,56,11.7,10.81,7.89,MuyAlta
276.099976,101390,74,-8.999998,-12.3,52,12.4,12.12,7.51,MuyAlta
276.700012,101430,77,-10.499998,-13.3,51,14.2,10,6.94,MuyAlta
276.899994,101430,81,-11.4,-11.799998,51,12.9,10,7.1,MuyAlta
278.100006,101300,79,-11,-12.999998,54,14.3,10,6.8,MuyAlta
278.100006,100950,74,-11.999997,-12.199999,43,12.7,10,7.52,MuyAlta
278.699982,100530,75,-9.4,-15.899999,44,14.2,9.09,6.69,MuyAlta
278.100006,100470,73,-12.3,-12.599998,45,13.1,10,7.53,MuyAlta
277.199982,100590,72,-12.6,-11.299998,62,13.7,12.12,8.23,MuyAlta
276.499969,101110,70,-14.1,-11.099998,60,12.1,11.43,7.51,Moderada
277.899994,101490,76,-9.7,-11.8,50,9,10,7.01,Moderada
277.700012,101850,67,-6.9,-6.199997,42,6.5,9.09,6.72,Media
277.799988,101990,72,-0.9,-6.7,12,4.9,9.09,6.51,Media
278.199982,102120,81,-0.399997,-6.099997,327,4.9,10.81,6.14,Media
278.200012,102100,87,-1.099998,-6.5,351,4.3,10,6.07,Baja
278,102110,76,2,-3.4,331,2.8,10,6.41,Baja
277.5,101960,82,4.3,-4.299998,286,5.5,10.81,5.92,Baja
277.399963,101900,77,6,-1,274,6.4,9.09,5.36,Baja
277.199982,101790,84,9.200002,0.1,269,7.5,11.43,4.68,Media
277.100006,101640,85,10.400002,2.1,263,8.5,5.88,4.9,Media
276.799988,101490,84,10.800001,1.1,261,9.5,5.88,5.05,Media
276,101280,88,9.300001,2.7,258,10.3,7.14,5.59,Media
276.299988,100890,86,1.7,7.6,228,6.9,7.69,5.5,Media
277.899963,100010,93,-8.099998,14.9,154,12.5,8.33,4.79,Moderada
279.700012,99180,95,3.100002,16.900002,161,11.5,8.33,6.33,Moderada
280.799988,98820,91,2.9,15.600001,188,12.9,10,6.87,MuyAlta
279.299988,98550,89,5.400002,15,188,12.6,10.81,7.27,MuyAlta
279.099976,98850,91,10.500002,14.2,219,12.8,10.81,7.09,MuyAlta
278,99510,99,8.2,13.1,223,13.2,11.43,7.5,MuyAlta
279.099976,99640,90,4.700002,12.7,201,11.1,12.12,7.4,MuyAlta
278.299988,99920,88,11.800001,5.900002,234,9.9,11.43,7.33,MuyAlta
277.5,100570,81,10.400002,2.900002,264,11.5,12.9,7.5,MuyAlta
278.5,100350,69,-3.7,6.300002,203,6.1,13.79,8.13,MuyAlta
279.299988,98640,89,-16.599998,12.100001,124,15.4,12.9,6.93,MuyAlta
280.099976,97220,93,2.500001,20.500002,180,12.3,9.09,7.19,MuyAlta
279.599976,96990,90,3,14.200002,180,8.4,10,7.68,MuyAlta
278.799988,97370,99,9.900002,9.200002,214,8.8,11.43,8.19,MuyAlta
277.799988,98240,84,15.000002,-1.199998,290,14.1,14.81,9.18,MuyAlta
274.299988,98880,77,14.300001,-0.599998,268,13.1,16,9.18,MuyAlta
274.5,99240,61,6.800002,-0.299998,264,7.2,10.81,8.6,MuyAlta
274.299988,99170,58,-0.799998,0.200002,270,2.6,11.43,8.56,Moderada
