@relation AlturaOla-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9

@attribute air numeric
@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
285.299988,101320,2.699997,256,6.2,7.1,11.523953,6.450096,13.4,11.4,Baja
285.400024,101190,2.800003,223,4.2,4.9,7.69,5.16,13.4,11.2,Baja
285.900024,101050,3.900009,206,3.1,3.8,7.69,5.23,13.8,10.5,Baja
286.299988,100830,2.400009,127,1.6,2,7.14,5.84,13.8,10.5,Baja
286,100740,-1.399994,13,2.8,3.4,8.33,5.83,13.7,11.2,Baja
286,100680,-2.099991,25,2.3,2.8,8.33,6.4,13.7,10.8,Baja
286.200012,100810,-2.199997,348,1,1.5,8.33,6.22,14.9,10.3,Baja
286.600006,100840,-1.899994,331,4.8,5.6,7.69,5.94,14,11.6,Baja
286.400024,100840,-3.099991,352,3.5,4.3,7.69,5.84,13.9,11.7,Baja
286.400024,100880,-2.199997,320,4.8,5.5,7.69,5.64,13.9,12,Baja
287,100990,0.5,286,5.6,6.6,7.14,5.01,14,12.1,Baja
286.5,101100,2.699997,254,5.1,5.9,7.69,4.89,14,11.7,Baja
285.799988,101200,4,246,4.1,5,7.69,4.95,13.9,11.4,Baja
286.400024,101420,3.5,204,3.3,3.7,7.14,5.24,13.9,11.2,Baja
287.100006,101500,2.600006,155,2,2.8,6.25,5.4,14.6,12,Baja
287.100006,101470,0.5,87,2.1,2.5,6.25,5.72,14.7,11.5,Baja
286.5,101370,-1.099991,31,5.1,5.9,7.14,5.47,14.2,12.4,Baja
287.100006,101410,-2.399994,4,5.2,6.1,7.14,4.07,14.2,12.5,Baja
287.200012,101420,-2.099991,332,6.6,7.5,3.7,3.7,14.4,12.5,Baja
287,101340,-1.800003,318,6.3,7.3,4.55,4.08,14.4,11.8,Baja
286.5,101270,0.900009,272,4.7,5.9,4.76,3.84,14.4,12.4,Baja
