@relation AlturaOla-Test-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9

@attribute air numeric
@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
279.200012,103960,-8.099998,320,9.4,11.6,9.09,7.35,6.2,4.816162,Moderada
278.700012,104050,-7.699998,311,8,9.3,14.81,6.67,6.2,4.816162,Moderada
278.200012,104050,-5.399997,327,5.6,7.2,12.9,6.99,6.1,7.092061,Media
277.599976,103910,-5.599998,306,5.8,6.9,12.9,6.6,6,7.092061,Media
278.600006,103750,-6.999999,307,6.4,7.9,12.12,5.81,6.2,8.949392,Baja
278.199982,103660,-8.599998,327,7.2,8.3,5.56,4.6,6.3,8.949392,Baja
278.699982,103440,-9.899999,321,7.9,9.4,5.26,5.01,6.4,8.949392,Baja
278.599976,103550,-9.299998,323,7.1,8.8,5,4.71,6.2,7.092061,Media
279.799988,103480,-9.4,325,6.8,8.1,12.9,6.41,6.2,7.092061,Media
278.799988,103540,-8.099997,331,6.4,7.4,12.9,5.51,6.2,7.092061,Media
278.700012,103560,-8.299997,326,8.1,9.7,11.43,5.42,6.1,7.092061,Media
278.5,103640,-8.299997,322,6.3,7.2,10.81,5.62,6.2,8.949392,Baja
278.799988,103530,-6.399997,358,5.6,7,10,5.52,6.1,8.949392,Baja
277.599976,103630,-4.099998,341,3,4.6,10.81,5.32,6.2,8.949392,Baja
277.200012,103600,-3.3,325,3.2,5.2,12.12,6.18,6.2,8.949392,Baja
276.5,103570,-4.299997,307,5.6,6.7,10.81,5.27,6,8.949392,Baja
277.100006,103490,-4.599998,284,6.4,7.7,10.81,4.93,6.2,8.949392,Baja
278.399963,103310,-3.699998,290,7.4,8.4,5.26,4.6,6.1,7.092061,Media
278.200012,103000,-7.8,303,10.6,12.7,6.25,5.3,6,4.816162,Moderada
279,102770,-11.2,316,12.9,15.5,8.33,5.9,6.1,4.816162,Moderada
279.899994,102380,-10.8,333,12.1,14.7,8.33,6.29,6.1,4.809354,MuyAlta
278.099976,101780,-15.2,342,16,19.6,10,6.82,6.2,4.809354,MuyAlta
276.200012,101060,-14.199999,21,9.9,14.902895,11.663012,7.671493,8.200668,4.809354,MuyAlta
274.299988,100980,-13.199999,28,13.8,18.5,11.43,7.36,6.3,4.809354,MuyAlta
275.299988,101200,-12.099998,58,13,15.9,11.43,7.32,6.2,4.809354,MuyAlta
276.099976,101400,-13.4,56,11.7,14.3,10.81,7.89,6.3,4.809354,MuyAlta
276.099976,101390,-12.3,52,12.4,15.6,12.12,7.51,6.3,4.809354,MuyAlta
