@relation AlturaOla-Test-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R5

@attribute air numeric
@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}

@data
279.200012,103960,-8.099998,320,11.6,9.09,7.35,6.2,4.816162,Moderada
278.700012,104050,-7.699998,311,9.3,14.81,6.67,6.2,4.816162,Moderada
278.200012,104050,-5.399997,327,7.2,12.9,6.99,6.1,7.092061,Media
277.599976,103910,-5.599998,306,6.9,12.9,6.6,6,7.092061,Media
278.600006,103750,-6.999999,307,7.9,12.12,5.81,6.2,8.949392,Baja
278.199982,103660,-8.599998,327,8.3,5.56,4.6,6.3,8.949392,Baja
278.699982,103440,-9.899999,321,9.4,5.26,5.01,6.4,8.949392,Baja
278.599976,103550,-9.299998,323,8.8,5,4.71,6.2,7.092061,Media
279.799988,103480,-9.4,325,8.1,12.9,6.41,6.2,7.092061,Media
278.799988,103540,-8.099997,331,7.4,12.9,5.51,6.2,7.092061,Media
278.700012,103560,-8.299997,326,9.7,11.43,5.42,6.1,7.092061,Media
278.5,103640,-8.299997,322,7.2,10.81,5.62,6.2,8.949392,Baja
278.799988,103530,-6.399997,358,7,10,5.52,6.1,8.949392,Baja
277.599976,103630,-4.099998,341,4.6,10.81,5.32,6.2,8.949392,Baja
277.200012,103600,-3.3,325,5.2,12.12,6.18,6.2,8.949392,Baja
276.5,103570,-4.299997,307,6.7,10.81,5.27,6,8.949392,Baja
277.100006,103490,-4.599998,284,7.7,10.81,4.93,6.2,8.949392,Baja
278.399963,103310,-3.699998,290,8.4,5.26,4.6,6.1,7.092061,Media
278.200012,103000,-7.8,303,12.7,6.25,5.3,6,4.816162,Moderada
279,102770,-11.2,316,15.5,8.33,5.9,6.1,4.816162,Moderada
279.899994,102380,-10.8,333,14.7,8.33,6.29,6.1,4.809354,MuyAlta
278.099976,101780,-15.2,342,19.6,10,6.82,6.2,4.809354,MuyAlta
276.200012,101060,-14.199999,21,14.902895,11.663012,7.671493,8.200668,4.809354,MuyAlta
274.299988,100980,-13.199999,28,18.5,11.43,7.36,6.3,4.809354,MuyAlta
275.299988,101200,-12.099998,58,15.9,11.43,7.32,6.2,4.809354,MuyAlta
276.099976,101400,-13.4,56,14.3,10.81,7.89,6.3,4.809354,MuyAlta
276.099976,101390,-12.3,52,15.6,12.12,7.51,6.3,4.809354,MuyAlta
276.700012,101430,-13.3,51,17.1,10,6.94,6.2,4.809354,MuyAlta
276.899994,101430,-11.799998,51,16.2,10,7.1,6.1,4.809354,MuyAlta
278.100006,101300,-12.999998,54,18,10,6.8,6.1,4.809354,MuyAlta
278.100006,100950,-12.199999,43,16,10,7.52,6.2,4.809354,MuyAlta
278.699982,100530,-15.899999,44,17.3,9.09,6.69,6.2,4.809354,MuyAlta
278.100006,100470,-12.599998,45,16.1,10,7.53,6.2,4.809354,MuyAlta
277.199982,100590,-11.299998,62,17.5,12.12,8.23,6.1,4.809354,MuyAlta
276.499969,101110,-11.099998,60,14.4,11.43,7.51,6.2,4.816162,Moderada
277.899994,101490,-11.8,50,10.9,10,7.01,6.1,4.816162,Moderada
277.700012,101850,-6.199997,42,7.9,9.09,6.72,6.2,7.092061,Media
277.799988,101990,-6.7,12,6.2,9.09,6.51,6.2,7.092061,Media
278.199982,102120,-6.099997,327,6.2,10.81,6.14,6.4,7.092061,Media
278.200012,102100,-6.5,351,5.7,10,6.07,6.4,8.949392,Baja
278,102110,-3.4,331,4.2,10,6.41,6.2,8.949392,Baja
277.5,101960,-4.299998,286,7.9,10.81,5.92,6.2,8.949392,Baja
277.399963,101900,-1,274,8.4,9.09,5.36,6.1,8.949392,Baja
277.199982,101790,0.1,269,9.4,11.43,4.68,6,7.092061,Media
277.100006,101640,2.1,263,10.9,5.88,4.9,5.9,7.092061,Media
276.799988,101490,1.1,261,12.4,5.88,5.05,5.9,7.092061,Media
276,101280,2.7,258,12.6,7.14,5.59,5.9,7.092061,Media
276.299988,100890,7.6,228,9.3,7.69,5.5,5.8,7.092061,Media
277.899963,100010,14.9,154,14.3,8.33,4.79,5.8,4.816162,Moderada
279.700012,99180,16.900002,161,14.1,8.33,6.33,6,4.816162,Moderada
280.799988,98820,15.600001,188,16,10,6.87,5.8,4.809354,MuyAlta
279.299988,98550,15,188,15.3,10.81,7.27,5.8,4.809354,MuyAlta
279.099976,98850,14.2,219,15.3,10.81,7.09,5.9,4.809354,MuyAlta
278,99510,13.1,223,16.5,11.43,7.5,5.9,4.809354,MuyAlta
279.099976,99640,12.7,201,13.9,12.12,7.4,5.9,4.809354,MuyAlta
278.299988,99920,5.900002,234,12.3,11.43,7.33,6,4.809354,MuyAlta
277.5,100570,2.900002,264,14.1,12.9,7.5,6,4.809354,MuyAlta
278.5,100350,6.300002,203,7.8,13.79,8.13,6,4.809354,MuyAlta
279.299988,98640,12.100001,124,20.7,12.9,6.93,6,4.809354,MuyAlta
280.099976,97220,20.500002,180,15.8,9.09,7.19,5.9,4.809354,MuyAlta
279.599976,96990,14.200002,180,10.4,10,7.68,5.9,4.809354,MuyAlta
278.799988,97370,9.200002,214,11.2,11.43,8.19,5.9,4.809354,MuyAlta
277.799988,98240,-1.199998,290,18,14.81,9.18,5.9,4.809354,MuyAlta
274.299988,98880,-0.599998,268,16.9,16,9.18,5.9,4.809354,MuyAlta
274.5,99240,-0.299998,264,9.7,10.81,8.6,5.8,4.809354,MuyAlta
274.299988,99170,0.200002,270,5,11.43,8.56,5.8,4.816162,Moderada
275.199982,98720,-1.399997,107,3.7,11.43,8.18,5.7,4.816162,Moderada
275.700012,98260,-6.499999,38,9,10,7.94,5.7,7.092061,Media
276.599976,97900,-9.7,40,8.9,9.09,6.53,5.6,7.092061,Media
275.700012,97690,-14.3,18,10.3,10,5.6,5.7,4.816162,Moderada
275.200012,97790,-15.599998,351,13.8,5.56,5.36,5.8,4.816162,Moderada
275.299988,98130,-13.6,319,14.8,6.67,5.65,5.7,4.816162,Moderada
274.299988,98550,-8.199999,303,13.8,7.14,5.76,5.7,4.816162,Moderada
273.200012,98850,-5.5,293,14,7.69,6.51,5.6,4.816162,Moderada
273.299988,99100,-6.5,300,14.8,8.33,6.81,5.7,4.809354,MuyAlta
274.100006,99320,-10.399999,325,17.4,11.43,7.84,5.8,4.809354,MuyAlta
274.700012,99620,-12.299998,333,13.5,10.81,7.37,5.7,4.809354,MuyAlta
274.899994,99860,-12.4,354,12.4,9.09,7.16,5.6,4.816162,Moderada
275.099976,99970,-10.999998,12,10.4,8.33,6.58,5.5,7.092061,Media
275.299988,99870,-8.9,15,10.4,7.69,6.08,5.4,7.092061,Media
275.599976,99810,-7.8,36,7,16,6.62,5.4,7.092061,Media
275.699982,99500,-8.199999,33,11.3,14.81,6.27,5.5,7.092061,Media
276.199982,99490,-5.7,49,9.9,13.79,6.42,5.6,4.816162,Moderada
276.700012,99490,-5.7,30,5.2,9.09,6.97,5.6,7.092061,Media
276.799988,99660,-7.299998,14,7.4,12.12,6.27,5.6,7.092061,Media
276.899963,99670,-9.1,11,7.1,12.12,7.31,5.6,7.092061,Media
276.700012,99760,-8,7,4.8,10.81,7.28,5.7,4.816162,Moderada
276.399994,100040,-5.6,304,14.2,10,6.47,5.7,4.816162,Moderada
274.700012,100250,-0.2,266,13.2,9.09,5.93,5.7,4.816162,Moderada
273.399994,100550,6.900002,226,9.8,8.33,6.26,5.7,7.092061,Media
276.299988,100240,15.1,176,13.7,9.09,5.41,5.7,4.816162,Moderada
278.200012,99740,15.900002,169,15.3,7.69,6.05,5.7,4.809354,MuyAlta
279.299988,99540,8.9,192,8.9,13.79,7.74,5.8,4.816162,Moderada
278.299988,99250,6.500001,164,6,10.81,7.93,5.8,4.816162,Moderada
278.899963,99170,5,168,5.2,11.43,7.96,5.8,4.809354,MuyAlta
278.799988,99170,7.2,197,5.2,12.9,9.12,5.8,4.809354,MuyAlta
278.700012,99360,11.500002,202,11.6,17.39,9.49,5.8,4.809354,MuyAlta
278.299988,99800,12.000002,198,12.1,19.05,10.26,5.7,4.809354,MuyAlta
278.399994,100000,12.600001,186,13.5,16,8.87,5.5,4.809354,MuyAlta
279.199982,98810,14.700002,130,21.9,11.663012,7.671493,5.4,4.809354,MuyAlta
