@relation fantasmas-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5

@attribute bone_length numeric
@attribute rotting_flesh numeric
@attribute hair_length numeric
@attribute has_soul numeric
@attribute type {Ghost,Goblin,Ghoul}

@data
0.354512,0.350839,0.465761,0.781142,Ghoul
0.57556,0.425868,0.531401,0.439899,Goblin
0.467875,0.35433,0.811616,0.791225,Ghoul
0.776652,0.508723,0.636766,0.884464,Ghoul
0.566117,0.875862,0.418594,0.636438,Ghost
0.40568,0.253277,0.44142,0.280324,Goblin
0.399331,0.568952,0.618391,0.467901,Goblin
0.516224,0.536429,0.612776,0.468048,Ghoul
0.314295,0.67128,0.417267,0.227548,Ghost
0.280942,0.701457,0.179633,0.141183,Ghost
0.431685,0.438959,0.239212,0.47182,Goblin
0.584543,0.593082,0.681166,0.935721,Ghoul
0.390712,0.335069,0.556109,0.784217,Ghoul
0.351559,0.471078,0.484458,0.465328,Goblin
0.513387,0.301345,0.745676,0.545792,Goblin
0.500197,0.438418,0.53253,0.665522,Ghoul
0.25077,0.246258,0.554654,0.250036,Ghost
0.585559,0.585939,1,0.708692,Ghoul
0.605836,0.587943,0.529361,0.526718,Ghoul
0.52408,0.750988,0.524637,0.443358,Ghost
0.503164,0.464055,0.497783,0.472031,Goblin
0.472603,0.427151,0.59013,0.356488,Ghoul
0.374449,0.384183,0.675868,0.4147,Goblin
0.34335,0.39745,0.478876,0.621823,Ghoul
0.687256,0.301576,0.761949,0.513779,Ghoul
0.22901,0.567313,0.373743,0.329636,Ghost
0.388501,0.342306,0.669627,0.538649,Goblin
0.492438,0.623197,0.604879,0.376142,Goblin
0.411663,0.454075,0.408097,0.432921,Goblin
0.304198,0.266904,0.527225,0.386713,Goblin
0.672977,0.620479,0.435714,0.328717,Ghoul
0.465094,0.439323,0.249337,0.197382,Ghost
0.55451,0.630669,0.592484,0.615364,Goblin
0.523729,0.318483,0.330146,0.427402,Goblin
0.558196,0.580363,0.772734,0.37074,Ghoul
0.456371,0.456208,0.236332,0.300486,Ghost
0.394958,0.573941,0.479094,0.482693,Ghost
0.636347,0.501061,0.737795,0.695589,Ghoul
0.564282,0.4195,0.682931,0.47269,Ghoul
0.28805,0.60378,0.473956,0.408294,Ghost
0.41511,0.434616,0.707469,0.526319,Ghoul
0.456935,0.627141,0.463794,0.436216,Ghost
0.534266,0.569504,0.506611,0.268315,Ghost
0.384958,0.615732,0.569545,0.455285,Goblin
0.314143,0.421751,0.690889,0.435245,Ghoul
0.287193,0.530852,0.466725,0.299993,Goblin
0.481716,0.527251,0.74027,0.700857,Ghoul
0.268141,0.665224,0.234944,0.321623,Ghost
0.362887,0.648725,0.631184,0.445045,Goblin
0.295229,0.331809,0.586854,0.490879,Goblin
0.571619,0.431955,0.641309,0.462295,Ghoul
0.495467,0.551877,0.80933,0.907712,Ghoul
0.445132,0.932466,0.218732,0.043321,Ghost
0.627652,0.840049,0.414816,0.488617,Goblin
0.397258,0.672985,0.551664,0.159367,Ghost
0.678519,0.476821,0.477152,0.489358,Goblin
0.304302,0.463015,0.385387,0.219313,Ghost
0.515275,0.582627,0.568721,0.534079,Goblin
0.504236,0.620758,0.341074,0.348578,Ghost
0.512677,0.417474,0.678072,0.796332,Ghoul
0.622414,0.497614,0.465419,0.459141,Goblin
0.208625,0.519235,0.619559,0.292131,Goblin
0.753505,0.511413,0.684979,0.501544,Ghoul
0.490988,0.545145,0.492527,0.302301,Goblin
0.665432,0.56487,0.595988,0.647142,Ghoul
0.609634,0.646037,0.243755,0.34824,Ghost
0.424969,0.240299,0.338678,0.088924,Ghost
0.644176,0.593844,0.728079,0.561782,Ghoul
0.311418,0.815466,0.461068,0.127149,Ghost
0.227532,0.491082,0.616847,0.480046,Ghoul
0.315276,0.587053,0.446189,0.800853,Ghoul
0.390769,0.801721,0.205236,0.127877,Ghost
0.348991,0.564233,0.48119,0.177172,Ghost
0.510242,0.403365,0.69041,0.479525,Ghoul
0.586177,0.469534,0.764312,0.280854,Ghoul
0.480836,0.40793,0.539005,0.495069,Goblin
0.498336,0.374374,0.579926,0.511726,Goblin
0.237046,0.634643,0.290655,0.304283,Ghost
0.631327,0.411749,0.707609,0.769455,Ghoul
0.501306,0.536995,0.631199,0.591106,Ghoul
0.51856,0.808514,0.323921,0.574505,Ghost
0.48697,0.511617,0.365142,0.171539,Ghost
0.516814,0.463708,0.321867,0.009402,Ghost
0.485802,0.571908,0.656528,0.465085,Goblin
0.375197,0.742953,0.320764,0.24344,Ghost
0.344087,0.244662,0.529963,0.377121,Goblin
0.514717,0.446318,0.622489,0.782699,Ghoul
0.464591,0.715401,0.623506,0.296506,Goblin
0.52178,0.277627,0.701214,0.567563,Ghoul
0.600898,0.41173,0.717727,0.531641,Ghoul
0.197071,0.455686,0.45149,0.417516,Ghost
0.350838,0.454637,0.783001,0.674479,Ghoul
0.378811,0.347287,0.664434,0.504179,Goblin
0.440696,0.408872,0.541966,0.569011,Ghoul
0.619468,0.465614,0.367914,0.535858,Goblin
0.580303,0.179727,0.515927,0.623419,Goblin
0.341539,0.689139,0.313948,0.055464,Ghost
0.365437,0.513115,0.468037,0.54609,Goblin
0.431501,0.349555,0.468936,0.194413,Goblin
0.313506,0.616803,0.396482,0.447946,Ghost
0.471764,0.801465,0.230619,0.285067,Ghost
0.207874,0.545294,0.357987,0.484055,Ghost
0.318316,0.661752,0.476469,0.233136,Ghost
0.305943,0.287523,0.336711,0.318033,Goblin
0.252513,0.479093,0.658847,0.330915,Goblin
0.519827,0.568441,0.434171,0.351851,Ghost
0.450759,0.542649,0.795207,0.739429,Ghoul
0.452741,0.384133,0.305594,0.371807,Goblin
0.440855,0.43271,0.643989,0.322236,Goblin
0.496734,0.532486,0.709708,0.649007,Ghoul
0.298797,0.55337,0.306682,0.360853,Ghost
0.47673,0.24242,0.294214,0.317795,Goblin
0.53259,0.375698,0.553827,0.679403,Ghoul
0.317938,0.65268,0.390057,0.293632,Ghost
0.489132,0.481304,0.482691,0.460081,Goblin
0.480941,0.742555,0.329061,0.429933,Ghost
0.365032,0.524358,0.3284,0.325906,Ghost
0.453869,0.259701,0.5814,0.567843,Goblin
0.295575,0.433779,0.462629,0.036457,Ghost
0.587571,0.44806,0.706312,0.583415,Ghoul
0.273458,0.463239,0.453515,0.33639,Goblin
0.339501,0.336981,0.492441,0.345592,Goblin
0.572494,0.516335,0.463063,0.291004,Ghost
0.505375,0.327578,0.650431,0.528015,Goblin
0.472059,0.493986,0.556691,0.56372,Ghoul
0.373305,0.769033,0.540549,0.495466,Ghost
0.411353,0.492621,0.437745,0.276163,Ghost
0.38773,0.659535,0.356108,0.550968,Goblin
0.444009,0.416513,0.718762,0.508057,Ghoul
0.351315,0.466134,0.756594,0.609223,Ghoul
0.434998,0.412613,0.753331,0.612577,Ghoul
0.609161,0.717767,0.658848,0.466372,Ghoul
0.667182,0.41414,0.51871,0.456213,Ghoul
0.617832,0.280868,0.527576,0.697268,Goblin
0.358311,0.621728,0.559499,0.761621,Goblin
0.584177,0.44535,0.714323,0.650264,Ghoul
0.324769,0.27711,0.800646,0.359682,Goblin
0.297148,0.531544,0.312002,0.3827,Goblin
0.351562,0.45749,0.547977,0.36837,Goblin
0.416152,0.418087,0.802077,0.454922,Ghoul
0.379548,0.33662,0.513244,0.371015,Goblin
0.384235,0.393451,0.353746,0.490884,Goblin
0.598166,0.593741,0.357188,0.26016,Ghost
